"RegimeID", "Regime Type", "Page", "Book Area(s)/NM Area(s)", "Target(s)"
  615,    Grounds of Valor,    6,    Bostaunieux Oubliette,    Blind Bat/Panna Cotta
  616,    Grounds of Valor,    7,    Bostaunieux Oubliette,    Nachtmahr
  617,    Grounds of Valor,    8,    Bostaunieux Oubliette,    Wurdalak/Blind Bat
  618,    Grounds of Valor,    1,    Toraimarai Canal,    Hell Bat/Makara
  619,    Grounds of Valor,    2,    Toraimarai Canal,    Fallen Knight/Lich/Dark Aspic
  620,    Grounds of Valor,    3,    Toraimarai Canal,    Dark Aspic/Bloodsucker
  621,    Grounds of Valor,    4,    Toraimarai Canal,    Scavenger Crab/Stygian Pugil
  622,    Grounds of Valor,    5,    Toraimarai Canal,    Starborer/Deviling Bats
  623,    Grounds of Valor,    6,    Toraimarai Canal,    Plunderer Crab/Sodden Bones
  624,    Grounds of Valor,    7,    Toraimarai Canal,    Blackwater Pugil/Drowned Bones
  625,    Grounds of Valor,    8,    Toraimarai Canal,    Flume Toad/Poroggo Excavator
  626,    Grounds of Valor,    1,    Zeruhn Mines,    Ding Bats
  627,    Grounds of Valor,    2,    Zeruhn Mines,    River Crab
  628,    Grounds of Valor,    3,    Zeruhn Mines,    Colliery Bat/Soot Crab
  629,    Grounds of Valor,    4,    Zeruhn Mines,    Colliery Bat/Burrower Worm
  630,    Grounds of Valor,    5,    Zeruhn Mines,    Colliery Bat/Veindigger Leech
  631,    Grounds of Valor,    1,    King Ranperre's Tomb,    Mouse Bat/Members of the Goblin family
  632,    Grounds of Valor,    2,    King Ranperre's Tomb,    Stone Eater/Wind Bats
  633,    Grounds of Valor,    3,    King Ranperre's Tomb,    Goblin Ambusher/Goblin Tinkerer/Goblin Butcher
  634,    Grounds of Valor,    4,    King Ranperre's Tomb,    Plague Bats/Rock Eater
  635,    Grounds of Valor,    5,    King Ranperre's Tomb,    Goblin Mugger/Goblin Leecher/Goblin Gambler
  636,    Grounds of Valor,    6,    King Ranperre's Tomb,    Ossuary Worm/Lemures
  637,    Grounds of Valor,    7,    King Ranperre's Tomb,    Spartoi Warrior/Hati
  638,    Grounds of Valor,    8,    King Ranperre's Tomb,    Spartoi Sorcerer/Ogre Bat
  639,    Grounds of Valor,    1,    Dangruf Wadi,    Stone Eater Stone Eaters/Rock Lizard
  640,    Grounds of Valor,    2,    Dangruf Wadi,    Members of the Goblin family/Wadi Crab
  641,    Grounds of Valor,    3,    Dangruf Wadi,    Wadi Hare/Wadi Leech
  642,    Grounds of Valor,    4,    Dangruf Wadi,    Fume Lizard/Goblin Brigand
  643,    Grounds of Valor,    5,    Dangruf Wadi,    Witchetty Grub/Goblin Headsman
  644,    Grounds of Valor,    6,    Dangruf Wadi,    Prim Pika/Goblin Healer
  645,    Grounds of Valor,    7,    Dangruf Wadi,    Goblin Conjurer/Goblin Bladesmith/Goblin Bushwhacker
  646,    Grounds of Valor,    8,    Dangruf Wadi,    Trimmer Trimmers/Natty Gibbon
  647,    Grounds of Valor,    1,    Inner Horutoto Ruins,    Battue Bats/Goblin Thug
  648,    Grounds of Valor,    2,    Inner Horutoto Ruins,    Blade Bat/Goblin Weaver
  649,    Grounds of Valor,    3,    Inner Horutoto Ruins,    Battle Bat/Blob
  650,    Grounds of Valor,    4,    Inner Horutoto Ruins,    Members of the evil weapon family/Will-o'-the-Wisp
  651,    Grounds of Valor,    5,    Inner Horutoto Ruins,    Troika Bats/Goblin Trailblazer
  652,    Grounds of Valor,    6,    Inner Horutoto Ruins,    Deathwatch Beetle/Goblin Flesher
  653,    Grounds of Valor,    7,    Inner Horutoto Ruins,    Covin Bat/Skinnymalinks
  654,    Grounds of Valor,    8,    Inner Horutoto Ruins,    Goblin Lurcher/Skinnymajinx
  655,    Grounds of Valor,    1,    Ordelle's Caves,    Stalking Sapling/Thread Leech
  656,    Grounds of Valor,    2,    Ordelle's Caves,    Fly Agaric/Shrieker
  657,    Grounds of Valor,    3,    Ordelle's Caves,    Members of the Goblin family/Will-o'-the-Wisp
  658,    Grounds of Valor,    4,    Ordelle's Caves,    Seeker Bats/Vorpal Bunny
  659,    Grounds of Valor,    5,    Ordelle's Caves,    Ancient Bat/Jelly
  660,    Grounds of Valor,    6,    Ordelle's Caves,    Goliath Beetle/Stroper
  661,    Grounds of Valor,    7,    Ordelle's Caves,    Buds Bunny/Targe Beetle
  662,    Grounds of Valor,    8,    Ordelle's Caves,    Bilis Leech/Swagger Spruce
  663,    Grounds of Valor,    1,    Outer Horutoto Ruins,    Four of Cups/Four of Batons/Four of Swords/Four of Coins
  664,    Grounds of Valor,    2,    Outer Horutoto Ruins,    Five of Cups/Five of Batons/Five of Swords/Five of Coins
  665,    Grounds of Valor,    3,    Outer Horutoto Ruins,    Six of Cups/Six of Batons/Six of Swords/Six of Coins
  666,    Grounds of Valor,    4,    Outer Horutoto Ruins,    Seven of Cups/Seven of Batons/Seven of Swords/Seven of Coins
  667,    Grounds of Valor,    5,    Outer Horutoto Ruins,    Eight of Cups/Eight of Batons/Eight of Swords/Eight of Coins
  668,    Grounds of Valor,    6,    Outer Horutoto Ruins,    Nine of Cups/Nine of Batons/Nine of Swords/Nine of Coins
  669,    Grounds of Valor,    7,    Outer Horutoto Ruins,    Fetor Bats/Fuligo
  670,    Grounds of Valor,    8,    Outer Horutoto Ruins,    Thorn Bat/Fuligo
  671,    Grounds of Valor,    1,    The Eldieme Necropolis,    Members of the skeleton family
  672,    Grounds of Valor,    2,    The Eldieme Necropolis,    Members of the shadow family
  673,    Grounds of Valor,    3,    The Eldieme Necropolis,    Members of the shadow family/Azer
  674,    Grounds of Valor,    4,    The Eldieme Necropolis,    Lich/Blood Soul
  675,    Grounds of Valor,    5,    The Eldieme Necropolis,    Tomb Wolf/Members of the skeleton family
  676,    Grounds of Valor,    6,    The Eldieme Necropolis,    Tomb Warrior/Tomb Mage
  677,    Grounds of Valor,    7,    The Eldieme Necropolis,    Hellbound Warrior/Nekros Hound
  678,    Grounds of Valor,    8,    The Eldieme Necropolis,    Hellbound Warlock/Nekros Hound
  679,    Grounds of Valor,    1,    Gusgen Mines,    Members of the skeleton family
  680,    Grounds of Valor,    2,    Gusgen Mines,    Fly Agaric/Members of the skeleton family
  681,    Grounds of Valor,    3,    Gusgen Mines,    Ore Eater/Bandersnatch
  682,    Grounds of Valor,    4,    Gusgen Mines,    Greater Pugil/Amphisbaena/Mauthe Doog
  683,    Grounds of Valor,    5,    Gusgen Mines,    Wight/Myconid
  684,    Grounds of Valor,    6,    Gusgen Mines,    Ghast/Gallinipper
  685,    Grounds of Valor,    7,    Gusgen Mines,    Accursed Soldier/Rockmill
  686,    Grounds of Valor,    8,    Gusgen Mines,    Accursed Sorcerer/Madfly
  687,    Grounds of Valor,    1,    Crawlers' Nest,    Worker Crawler/Death Jacket
  688,    Grounds of Valor,    2,    Crawlers' Nest,    Soldier Crawler/Nest Beetle
  689,    Grounds of Valor,    3,    Crawlers' Nest,    Labyrinth Lizard/Witch Hazel
  690,    Grounds of Valor,    4,    Crawlers' Nest,    Exoray/Hornfly
  691,    Grounds of Valor,    5,    Crawlers' Nest,    Rumble Crawler/Wespe Wespes/Dragonfly
  692,    Grounds of Valor,    6,    Crawlers' Nest,    Helm Beetle/Knight Crawler
  693,    Grounds of Valor,    7,    Crawlers' Nest,    King Crawler/Vespo
  694,    Grounds of Valor,    8,    Crawlers' Nest,    Dancing Jewel/Olid Funguar
  695,    Grounds of Valor,    1,    Maze of Shakhrami,    Members of the Goblin family/Stink Bats
  696,    Grounds of Valor,    2,    Maze of Shakhrami,    Maze Maker Maze Makers/Combat
  697,    Grounds of Valor,    3,    Maze of Shakhrami,    Ghoul Ghouls/Carnivorous Crawler
  698,    Grounds of Valor,    4,    Maze of Shakhrami,    Caterchipillar/Ancient Bat
  699,    Grounds of Valor,    5,    Maze of Shakhrami,    Abyss Worm/Ancient Bat
  700,    Grounds of Valor,    6,    Maze of Shakhrami,    Abyss Worm/Labyrinth Scorpion
  701,    Grounds of Valor,    7,    Maze of Shakhrami,    Chaser Bats/Bleeder Leech
  702,    Grounds of Valor,    8,    Maze of Shakhrami,    Warren Bat/Crypterpillar
  703,    Grounds of Valor,    1,    Garlaige Citadel,    Wingrats/Members of the skeleton family
  704,    Grounds of Valor,    2,    Garlaige Citadel,    Siege Bat/Borer Beetle
  705,    Grounds of Valor,    3,    Garlaige Citadel,    Members of the evil weapon family/Citadel Bats
  706,    Grounds of Valor,    4,    Garlaige Citadel,    Funnel Bats/Explosure
  707,    Grounds of Valor,    5,    Garlaige Citadel,    Droma/Chamber Beetle
  708,    Grounds of Valor,    6,    Garlaige Citadel,    Over Weapon/Vault Weapon/Wraith Wraiths
  709,    Grounds of Valor,    7,    Garlaige Citadel,    Donjon Bat/Kaboom
  710,    Grounds of Valor,    8,    Garlaige Citadel,    Fortalice Bats/Warden Beetle
  711,    Grounds of Valor,    1,    Fei'Yin,    Vampire Bat/Drone
  712,    Grounds of Valor,    2,    Fei'Yin,    Members of the shadow family/Ore Golem
  713,    Grounds of Valor,    3,    Fei'Yin,    Underworld Bats/Talos
  714,    Grounds of Valor,    4,    Fei'Yin,    Underworld Bats/Droma
  715,    Grounds of Valor,    5,    Fei'Yin,    Underworld Bats/Colossus
  716,    Grounds of Valor,    6,    Fei'Yin,    Killing Weapon/Hellish Weapon
  717,    Grounds of Valor,    7,    Fei'Yin,    Balayang/Wekufe
  718,    Grounds of Valor,    8,    Fei'Yin,    Balayang/Sentient Carafe
  719,    Grounds of Valor,    1,    The Boyahda Tree,    Death Cap/Bark Spider
  720,    Grounds of Valor,    2,    The Boyahda Tree,    Mourioche/Robber Crab
  721,    Grounds of Valor,    3,    The Boyahda Tree,    Mourioche/Moss Eater
  722,    Grounds of Valor,    4,    The Boyahda Tree,    Korrigan/Elder Goobbue
  723,    Grounds of Valor,    5,    The Boyahda Tree,    Skimmer/Steelshell
  724,    Grounds of Valor,    6,    The Boyahda Tree,    Processionaire/Darter
  725,    Grounds of Valor,    7,    The Boyahda Tree,    Boyahda Sapling/Bark Tarantula
  726,    Grounds of Valor,    8,    The Boyahda Tree,    Viseclaw/Snaggletooth Peapuk/Mourning Crawler
  727,    Grounds of Valor,    1,    Korroloka Tunnel,    Land Worm/Seeker Bats
  728,    Grounds of Valor,    2,    Korroloka Tunnel,    Seeker Bats/Combat
  729,    Grounds of Valor,    3,    Korroloka Tunnel,    Huge Spider/Jelly
  730,    Grounds of Valor,    4,    Korroloka Tunnel,    Thread Leech
  731,    Grounds of Valor,    5,    Korroloka Tunnel,    Clipper/Greater Pugil
  732,    Grounds of Valor,    6,    Korroloka Tunnel,    Bogy
  733,    Grounds of Valor,    7,    Korroloka Tunnel,    Members of the Gigas family
  734,    Grounds of Valor,    8,    Korroloka Tunnel,    Lacerator/Spool Leech
  735,    Grounds of Valor,    1,    Kuftal Tunnel,    Robber Crab/Sand Lizard
  736,    Grounds of Valor,    2,    Kuftal Tunnel,    Robber Crab/Haunt
  737,    Grounds of Valor,    3,    Kuftal Tunnel,    Cave Worm/Recluse Spider
  738,    Grounds of Valor,    4,    Kuftal Tunnel,    Robber Crab/Sabotender Sediendo
  739,    Grounds of Valor,    5,    Kuftal Tunnel,    Kuftal Digger/Recluse Spider
  740,    Grounds of Valor,    6,    Kuftal Tunnel,    Deinonychus/Members of the Goblin family
  741,    Grounds of Valor,    7,    Kuftal Tunnel,    Ovinnik/Greater Cockatrice
  742,    Grounds of Valor,    8,    Kuftal Tunnel,    Kuftal Delver Kuftal Delvers/Machairodus
  743,    Grounds of Valor,    1,    Ve'Lugannon Palace,    arcana-type creatures
  744,    Grounds of Valor,    2,    Ve'Lugannon Palace,    Members of the evil weapon family
  745,    Grounds of Valor,    3,    Ve'Lugannon Palace,    Dustbuster
  746,    Grounds of Valor,    4,    Ve'Lugannon Palace,    Caretaker
  747,    Grounds of Valor,    5,    Ve'Lugannon Palace,    Enkidu
  748,    Grounds of Valor,    6,    Ve'Lugannon Palace,    Members of the elemental family
  749,    Grounds of Valor,    1,    The Shrine of Ru'Avitau,    arcana-type creatures
  750,    Grounds of Valor,    2,    The Shrine of Ru'Avitau,    Members of the elemental family
  751,    Grounds of Valor,    3,    The Shrine of Ru'Avitau,    Aura Pot Aura Pots
  752,    Grounds of Valor,    4,    The Shrine of Ru'Avitau,    Members of the doll family
  753,    Grounds of Valor,    5,    The Shrine of Ru'Avitau,    Members of the evil weapon family
  754,    Grounds of Valor,    6,    The Shrine of Ru'Avitau,    Members of the golem family
  755,    Grounds of Valor,    1,    Ifrit's Cauldron,    Volcano Wasp/Volcanic Gas
  756,    Grounds of Valor,    2,    Ifrit's Cauldron,    Old Opo-opo Old Opo-opos/Volcanic Gas
  757,    Grounds of Valor,    3,    Ifrit's Cauldron,    Members of the Goblin family/Volcanic Gas
  758,    Grounds of Valor,    4,    Ifrit's Cauldron,    Eotyrannus/Volcanic Gas
  759,    Grounds of Valor,    5,    Ifrit's Cauldron,    Volcanic Gas/Sulfur Scorpion
  760,    Grounds of Valor,    6,    Ifrit's Cauldron,    Nightmare Bats/Volcanic Bomb
  761,    Grounds of Valor,    7,    Ifrit's Cauldron,    Ash Lizard/Volcanic Bomb
  762,    Grounds of Valor,    8,    Ifrit's Cauldron,    Hurricane Wyvern/Volcanic Bomb
  763,    Grounds of Valor,    1,    Gustav Tunnel,    Labyrinth Lizard/Labyrinth Leech/Members of the bat family
  764,    Grounds of Valor,    2,    Gustav Tunnel,    Hawker/Makara/Members of the Goblin family
  765,    Grounds of Valor,    3,    Gustav Tunnel,    Robber Crab/Members of the skeleton family/Members of the Goblin family
  766,    Grounds of Valor,    4,    Gustav Tunnel,    Doom Warlock/Demonic Pugil
  767,    Grounds of Valor,    5,    Gustav Tunnel,    Doom Guard/Erlik
  768,    Grounds of Valor,    6,    Gustav Tunnel,    Doom Guard/Antares
  769,    Grounds of Valor,    7,    Gustav Tunnel,    Doom Warlock/Typhoon Wyvern
  770,    Grounds of Valor,    8,    Gustav Tunnel,    Boulder Eater/Pygmytoise
  771,    Grounds of Valor,    1,    Labyrinth of Onzozo,    Labyrinth Leech Labyrinth Leeches/Members of the Goblin family
  772,    Grounds of Valor,    2,    Labyrinth of Onzozo,    Cockatrice/Members of the Goblin family
  773,    Grounds of Valor,    3,    Labyrinth of Onzozo,    Mushussu/Cockatrice
  774,    Grounds of Valor,    4,    Labyrinth of Onzozo,    Members of the sea monk family/Members of the Goblin family
  775,    Grounds of Valor,    5,    Labyrinth of Onzozo,    Torama/Labyrinth Manticore
  776,    Grounds of Valor,    6,    Labyrinth of Onzozo,    Babaulas/Boribaba
  777,    Grounds of Valor,    1,    Lower Delkfutt's Tower,    Members of the bat family/Members of the Goblin family
  778,    Grounds of Valor,    2,    Lower Delkfutt's Tower,    Members of the bat family/Members of the Gigas family
  779,    Grounds of Valor,    3,    Lower Delkfutt's Tower,    Members of the bat family/Chaos Idol
  780,    Grounds of Valor,    4,    Lower Delkfutt's Tower,    Members of the bat family/Bogy
  781,    Grounds of Valor,    5,    Lower Delkfutt's Tower,    Members of the bat family/Members of the magic pot family
  782,    Grounds of Valor,    1,    Middle Delkfutt's Tower,    Members of the Goblin family/Members of the bat family
  783,    Grounds of Valor,    2,    Middle Delkfutt's Tower,    Members of the Gigas family/Members of the bat family
  784,    Grounds of Valor,    3,    Middle Delkfutt's Tower,    Members of the Goblin family/Members of the Gigas family
  785,    Grounds of Valor,    1,    Upper Delkfutt's Tower,    Members of the Gigas family
  786,    Grounds of Valor,    2,    Upper Delkfutt's Tower,    Jotunn Wallkeeper/Jotunn Gatekeeper/Members of the bat family
  787,    Grounds of Valor,    3,    Upper Delkfutt's Tower,    Jotunn Hallkeeper/Jotunn Wildkeeper/Members of the bat family
  788,    Grounds of Valor,    4,    Upper Delkfutt's Tower,    Jotunn Gatekeeper/Jotunn Hallkeeper/arcana-type creatures
  789,    Grounds of Valor,    5,    Upper Delkfutt's Tower,    Jotunn Wildkeeper/Jotunn Wallkeeper/arcana-type creatures
  790,    Grounds of Valor,    1,    Temple of Uggalepih,    Members of the Tonberry family/Members of the bee family
  791,    Grounds of Valor,    2,    Temple of Uggalepih,    Members of the Tonberry family/Rumble Crawler
  792,    Grounds of Valor,    3,    Temple of Uggalepih,    Members of the Tonberry family/Temple Opo-opo
  793,    Grounds of Valor,    4,    Temple of Uggalepih,    Members of the Tonberry family/Temple Bee
  794,    Grounds of Valor,    5,    Temple of Uggalepih,    Members of the Tonberry family/Hover Tank
  795,    Grounds of Valor,    6,    Temple of Uggalepih,    Members of the Tonberry family/Iron Maiden
  796,    Grounds of Valor,    1,    Den of Rancor,    Dire Bat/Cave Worm
  797,    Grounds of Valor,    2,    Den of Rancor,    Dire Bat/Mousse
  798,    Grounds of Valor,    3,    Den of Rancor,    Members of the Tonberry family
  799,    Grounds of Valor,    4,    Den of Rancor,    Succubus Bats/Members of the Tonberry family
  800,    Grounds of Valor,    5,    Den of Rancor,    Million Eyes/Members of the Tonberry family
  801,    Grounds of Valor,    6,    Den of Rancor,    Demonic Pugil/Doom Toad
  802,    Grounds of Valor,    7,    Den of Rancor,    Tormentor/Puck Pucks
  803,    Grounds of Valor,    8,    Den of Rancor,    Tormentor/Bullbeggar
  804,    Grounds of Valor,    1,    Sea Serpent Grotto,    Royal Leech/Undead Bats
  805,    Grounds of Valor,    2,    Sea Serpent Grotto,    Ironshell/Members of the skeleton family
  806,    Grounds of Valor,    3,    Sea Serpent Grotto,    Members of the Sahagin family/Vampire Bat
  807,    Grounds of Valor,    4,    Sea Serpent Grotto,    Members of the Sahagin family/Bigclaw
  808,    Grounds of Valor,    5,    Sea Serpent Grotto,    Members of the Sahagin family/Grotto Pugil
  809,    Grounds of Valor,    6,    Sea Serpent Grotto,    Robber Crab/Dire Bat
  810,    Grounds of Valor,    7,    Sea Serpent Grotto,    Robber Crab/Devil Manta
  811,    Grounds of Valor,    8,    Sea Serpent Grotto,    Mindgazer/Greatclaw Greatclaws
  812,    Grounds of Valor,    1,    Quicksand Caves,    Sand Spider/Members of the Antica family
  813,    Grounds of Valor,    2,    Quicksand Caves,    Helm Beetle/Members of the Antica family
  814,    Grounds of Valor,    3,    Quicksand Caves,    Members of the worm family/Members of the Antica family
  815,    Grounds of Valor,    4,    Quicksand Caves,    Members of the Antica family
  816,    Grounds of Valor,    5,    Quicksand Caves,    Members of the sabotender family/Members of the Antica family
  817,    Grounds of Valor,    6,    Quicksand Caves,    Sand Lizard/Members of the Antica family
  818,    Grounds of Valor,    7,    Quicksand Caves,    Girtab/Members of the Antica family
  819,    Grounds of Valor,    8,    Quicksand Caves,    Sand Tarantula/Members of the Antica family
